tdur,byear
993,1968.0
581,1983.0
361,1989.0
561,1988.0
427,1986.0
639,1994.0
263,1969.0
666,1993.0
582,1983.0
1250,1985.0
1007,1979.0
1043,1967.0
820,1981.0
174,1959.0
1286,1976.0
667,1989.0
817,1985.0
806,1976.0
624,1974.0
471,1978.0
614,1971.0
1202,1981.0
236,1966.0
332,1987.0
254,1965.0
143,1985.0
1098,1951.0
2057,1954.0
950,1969.0
609,1989.0
580,1983.0
1850,1988.0
532,1960.0
546,1969.0
337,1984.0
1515,1989.0
1816,1965.0
452,1985.0
1780,1955.0
944,1976.0
236,1988.0
958,1967.0
419,1958.0
477,1966.0
1021,1975.0
1326,1987.0
189,1984.0
799,1986.0
927,1988.0
549,1981.0
1691,1953.0
841,1976.0
823,1975.0
651,1988.0
887,1989.0
2262,1979.0
858,1980.0
957,1973.0
551,1984.0
384,1957.0
685,1970.0
247,1977.0
359,1987.0
599,1980.0
660,1961.0
156,1985.0
247,1980.0
379,1965.0
361,1982.0
317,1962.0
924,1978.0
988,1986.0
137,1984.0
741,1975.0
1108,1978.0
854,1986.0
455,1988.0
1259,1975.0
1030,1987.0
320,1959.0
218,1950.0
395,1954.0
1890,1974.0
407,1979.0
624,1975.0
459,1970.0
621,1987.0
1202,1965.0
681,1967.0
1049,1981.0
1649,1988.0
953,1981.0
549,1985.0
407,1956.0
628,1976.0
736,1991.0
665,1988.0
690,1976.0
507,1964.0
419,1979.0
506,1982.0
701,1964.0
1005,1981.0
147,1976.0
1373,1961.0
217,1974.0
408,1993.0
466,1986.0
802,1977.0
947,1980.0
1086,1962.0
1446,1988.0
1140,1976.0
177,1946.0
983,1984.0
660,1981.0
609,1957.0
1869,1979.0
660,1993.0
289,1961.0
127,1982.0
376,1983.0
1676,1978.0
630,1984.0
950,1976.0
266,1980.0
716,1967.0
591,1982.0
1336,1980.0
675,1954.0
518,1984.0
400,1982.0
1395,1979.0
665,1947.0
667,1973.0
507,1974.0
511,1969.0
980,1955.0
721,1975.0
492,1963.0
1394,1952.0
374,1992.0
743,1976.0
633,1987.0
1901,1962.0
796,1966.0
720,1980.0
607,1980.0
539,1958.0
587,1976.0
707,1985.0
484,1984.0
271,1981.0
437,1974.0
762,1983.0
1605,1981.0
656,1978.0
861,1978.0
1641,1985.0
357,1966.0
819,1974.0
849,1985.0
1103,1990.0
876,1965.0
1594,1969.0
601,1955.0
753,1985.0
1138,1967.0
254,1974.0
458,1951.0
885,1969.0
468,1968.0
626,1970.0
634,1962.0
340,1967.0
569,1988.0
518,1972.0
398,1984.0
484,1975.0
2093,1960.0
533,1978.0
191,1963.0
1409,1981.0
2124,1957.0
1357,1981.0
761,1985.0
196,1965.0
251,1980.0
498,1983.0
584,1992.0
448,1986.0
116,1979.0
989,1991.0
284,1978.0
418,1970.0
1116,1976.0
1657,1977.0
2251,1963.0
335,1968.0
399,1974.0
1163,1980.0
643,1962.0
329,1962.0
130,1965.0
184,1983.0
592,1963.0
2697,1990.0
218,1976.0
752,1982.0
652,1985.0
380,1992.0
156,1987.0
1569,1979.0
767,1986.0
1028,1984.0
505,1990.0
246,1944.0
456,1963.0
949,1979.0
303,1983.0
198,1966.0
2468,1975.0
592,1961.0
783,1985.0
1099,1992.0
840,1990.0
310,1986.0
239,1971.0
1253,1963.0
702,1979.0
237,1967.0
491,1973.0
1805,1977.0
395,1974.0
193,1975.0
1150,1972.0
1253,1983.0
805,1968.0
381,1982.0
698,1979.0
1073,1986.0
1316,1983.0
1768,1953.0
832,1951.0
595,1953.0
565,1984.0
2376,1977.0
863,1965.0
2314,1976.0
676,1957.0
362,1968.0
468,1985.0
1023,1951.0
1219,1989.0
477,1982.0
545,1985.0
675,1987.0
1199,1983.0
647,1985.0
614,1964.0
362,1985.0
588,1971.0
102,1922.0
338,1975.0
495,1985.0
1924,1968.0
497,1988.0
785,1985.0
320,1992.0
533,1973.0
212,1979.0
472,1968.0
932,1980.0
1046,1983.0
683,1972.0
1961,1984.0
391,1989.0
272,1982.0
1438,1987.0
627,1976.0
1854,1997.0
596,1971.0
340,1961.0
252,1976.0
808,1964.0
566,1973.0
472,1966.0
680,1982.0
1385,1981.0
2017,1941.0
1733,1984.0
397,1967.0
1027,1984.0
786,1976.0
986,1979.0
503,1984.0
410,1981.0
460,1961.0
752,1976.0
700,1986.0
2658,1978.0
1485,1988.0
343,1977.0
266,1965.0
687,1989.0
1707,1959.0
388,1960.0
297,1968.0
581,1984.0
166,1983.0
619,1990.0
348,1980.0
509,1982.0
670,1979.0
258,1981.0
1078,1980.0
1814,1963.0
1009,1958.0
1852,1979.0
277,1979.0
1544,1957.0
162,1987.0
836,1971.0
847,1959.0
1297,1986.0
577,1982.0
225,1979.0
330,1985.0
1172,1981.0
645,1974.0
283,1977.0
662,1982.0
721,1986.0
1381,1966.0
365,1953.0
1003,1967.0
177,1962.0
156,1968.0
360,1954.0
965,1953.0
738,1972.0
307,1961.0
681,1976.0
586,1976.0
977,1972.0
945,1957.0
637,1980.0
526,1950.0
1152,1990.0
252,1963.0
1550,1958.0
1261,1978.0
402,1979.0
1016,1983.0
490,1962.0
1005,1983.0
823,1985.0
751,1973.0
1418,1988.0
498,1955.0
1975,1988.0
672,1972.0
941,1982.0
504,1971.0
807,1977.0
879,1984.0
729,1985.0
547,1984.0
1025,1944.0
478,1995.0
418,1977.0
478,1987.0
205,1963.0
2187,1982.0
314,1988.0
516,1956.0
307,1985.0
610,1978.0
1304,1984.0
517,1978.0
496,1958.0
1055,1988.0
880,1953.0
973,1982.0
194,1986.0
297,1987.0
271,1984.0
842,1976.0
358,1981.0
146,1993.0
729,1985.0
132,1983.0
473,1963.0
236,1989.0
206,1988.0
269,1966.0
1767,1972.0
522,1973.0
328,1969.0
738,1989.0
385,1982.0
336,1960.0
344,1965.0
282,1985.0
618,1983.0
219,1986.0
938,1962.0
313,1954.0
435,1972.0
368,1982.0
509,1987.0
841,1986.0
390,1946.0
507,1982.0
1803,1982.0
1480,1955.0
1157,1985.0
285,1974.0
820,1981.0
388,1971.0
2189,1979.0
701,1959.0
264,1984.0
1720,1959.0
470,1988.0
704,1984.0
429,1968.0
772,1968.0
538,1975.0
724,1962.0
281,1985.0
1021,1983.0
303,1974.0
518,1989.0
145,1980.0
513,1980.0
1355,1969.0
742,1997.0
572,1980.0
286,1959.0
747,1988.0
812,1988.0
1587,1980.0
1106,1932.0
392,1982.0
715,1990.0
909,1958.0
685,1962.0
1081,1974.0
1303,1973.0
346,1979.0
760,1980.0
1796,1990.0
583,1963.0
1231,1979.0
1140,1988.0
282,1977.0
344,1976.0
746,1977.0
422,1973.0
403,1979.0
529,1985.0
236,1989.0
373,1980.0
1097,1987.0
575,1947.0
342,1968.0
777,1985.0
1640,1993.0
457,1992.0
2180,1977.0
1085,1984.0
995,1986.0
340,1978.0
195,1992.0
277,1989.0
2697,1987.0
64,1987.0
1077,1988.0
1394,1980.0
